base_date,emd_cd,pop_cnt
2018-11-30,2018-11-30,50110259,194432.01649999933
2018-12-31,2018-12-31,50110259,157556.66069999858
2019-01-31,2019-01-31,50110259,249244.85440000077
2019-02-28,2019-02-28,50110259,185759.75150000048
2019-03-31,2019-03-31,50110259,298373.03180000355
2019-04-30,2019-04-30,50110259,270894.19730000035
2019-05-31,2019-05-31,50110259,254101.6994000005
2019-06-30,2019-06-30,50110259,268492.2195000005
2019-07-31,2019-07-31,50110259,302224.40930000064
2019-08-31,2019-08-31,50110259,353527.65199999965
2019-09-30,2019-09-30,50110259,257119.31830000036
2019-10-31,2019-10-31,50110259,241499.9141999993
2019-11-30,2019-11-30,50110259,241632.75630000103
2019-12-31,2019-12-31,50110259,331833.6450000004
2020-01-31,2020-01-31,50110259,257290.2941000099
2020-02-29,2020-02-29,50110259,231366.75760000732
2020-03-31,2020-03-31,50110259,234897.98549999864
2020-04-30,2020-04-30,50110259,232001.55720000452
2020-05-31,2020-05-31,50110259,192218.24250000052
2020-06-30,2020-06-30,50110259,225825.72800000058
2020-07-31,2020-07-31,50110259,309763.5510999986
2020-08-31,2020-08-31,50110259,324019.75400000485
2020-09-30,2020-09-30,50110259,181766.64109999605
2020-10-31,2020-10-31,50110259,227290.8066999929
2020-11-30,2020-11-30,50110259,219160.58909999998
2020-12-31,2020-12-31,50110259,224788.21759999177
2021-01-31,2021-01-31,50110259,164863.09690000708
2021-02-28,2021-02-28,50110259,162660.9574000049
2021-03-31,2021-03-31,50110259,224764.229299999
2021-04-30,2021-04-30,50110259,183170.03220000112
2021-05-31,2021-05-31,50110259,211581.6301999971
2021-06-30,2021-06-30,50110259,207672.78529999833
2018-01-31,2018-01-31,50110310,91951.42199999979
2018-02-28,2018-02-28,50110310,87691.78769999994
2018-03-31,2018-03-31,50110310,131644.32130000024
2018-04-30,2018-04-30,50110310,147631.61510000005
2018-05-31,2018-05-31,50110310,80944.86589999996
2018-06-30,2018-06-30,50110310,121987.53029999988
2018-07-31,2018-07-31,50110310,116824.32570000069
2018-08-31,2018-08-31,50110310,169995.67049999995
2018-09-30,2018-09-30,50110310,199624.8459999995
2018-10-31,2018-10-31,50110310,102930.12509999955
2018-11-30,2018-11-30,50110310,95888.91210000063
2018-12-31,2018-12-31,50110310,90176.54389999993
2019-01-31,2019-01-31,50110310,133631.59599999987
2019-02-28,2019-02-28,50110310,114934.02010000026
2019-03-31,2019-03-31,50110310,125409.87779999991
2019-04-30,2019-04-30,50110310,165828.1709000005
2019-05-31,2019-05-31,50110310,162202.53039999996
2019-06-30,2019-06-30,50110310,169431.3282000004
2019-07-31,2019-07-31,50110310,156452.66590000023
2019-08-31,2019-08-31,50110310,202527.50239999968
2019-09-30,2019-09-30,50110310,163661.05329999997
2019-10-31,2019-10-31,50110310,190384.5293999992
2019-11-30,2019-11-30,50110310,129330.98210000058
2019-12-31,2019-12-31,50110310,120470.25710000006
2020-01-31,2020-01-31,50110310,135036.0850999992
2020-02-29,2020-02-29,50110310,152048.7509000019
2020-03-31,2020-03-31,50110310,153206.91080000324
2020-04-30,2020-04-30,50110310,183734.11150000215
2020-05-31,2020-05-31,50110310,200570.61729999972
2020-06-30,2020-06-30,50110310,140368.56429999953
2020-07-31,2020-07-31,50110310,174571.1164999999
2020-08-31,2020-08-31,50110310,183993.35249999966
2020-09-30,2020-09-30,50110310,222239.28829999463
2020-10-31,2020-10-31,50110310,154007.27989999932
2020-11-30,2020-11-30,50110310,104988.2269999999
2020-12-31,2020-12-31,50110310,117382.03490000211
2021-01-31,2021-01-31,50110310,141925.57460000247
2021-02-28,2021-02-28,50110310,112779.1123000008
2021-03-31,2021-03-31,50110310,158273.32659999983
2021-04-30,2021-04-30,50110310,127426.5969999997
2021-05-31,2021-05-31,50110310,153109.97429999994
2021-06-30,2021-06-30,50110310,217685.52590000155
2018-01-31,2018-01-31,50110320,145607.0422000002
2018-02-28,2018-02-28,50110320,67087.62320000031
2018-03-31,2018-03-31,50110320,131647.7219
2018-04-30,2018-04-30,50110320,168672.7025000007
2018-05-31,2018-05-31,50110320,70776.53190000002
2018-06-30,2018-06-30,50110320,94274.73129999997
2018-07-31,2018-07-31,50110320,98552.11240000046
2018-08-31,2018-08-31,50110320,117720.34839999987
2018-09-30,2018-09-30,50110320,125467.38610000005
2018-10-31,2018-10-31,50110320,130817.48119999976
2018-11-30,2018-11-30,50110320,174002.2766999996
2018-12-31,2018-12-31,50110320,215371.0814000006
2019-01-31,2019-01-31,50110320,296103.5606000005
2019-02-28,2019-02-28,50110320,142491.93620000026
2019-03-31,2019-03-31,50110320,341726.10649999813
2019-04-30,2019-04-30,50110320,159671.45680000025
2019-05-31,2019-05-31,50110320,110716.8973000001
2019-06-30,2019-06-30,50110320,179242.57420000082
2019-07-31,2019-07-31,50110320,149740.67289999977
2019-08-31,2019-08-31,50110320,111039.90920000008
2019-09-30,2019-09-30,50110320,117303.4801000002
2019-10-31,2019-10-31,50110320,111213.75620000006
2019-11-30,2019-11-30,50110320,164046.1294999998
2019-12-31,2019-12-31,50110320,319323.14900000114
2020-01-31,2020-01-31,50110320,186538.8423000079
2020-02-29,2020-02-29,50110320,203205.75310000553
2020-03-31,2020-03-31,50110320,214997.55990000567
2020-04-30,2020-04-30,50110320,265114.75090000615
2020-05-31,2020-05-31,50110320,119556.86429999958
2020-06-30,2020-06-30,50110320,141781.6717000003
2020-07-31,2020-07-31,50110320,117495.07289999952
2020-08-31,2020-08-31,50110320,88898.75609999988
2020-09-30,2020-09-30,50110320,93199.35330000154
2020-10-31,2020-10-31,50110320,111158.0042000009
2020-11-30,2020-11-30,50110320,154756.4378000001
2020-12-31,2020-12-31,50110320,162502.91529999446
2021-01-31,2021-01-31,50110320,215497.52840000176
2021-02-28,2021-02-28,50110320,100848.8588000016
2021-03-31,2021-03-31,50110320,172133.01479999983
2021-04-30,2021-04-30,50110320,135626.1059999999
2021-05-31,2021-05-31,50110320,133512.78210000048
2021-06-30,2021-06-30,50110320,86435.8264999987
2018-01-31,2018-01-31,50110330,101540.86209999994
2018-02-28,2018-02-28,50110330,78158.87599999992
2018-03-31,2018-03-31,50110330,89307.16649999986
2018-04-30,2018-04-30,50110330,49333.33649999996
2018-05-31,2018-05-31,50110330,25224.825699999987
2018-06-30,2018-06-30,50110330,49076.68720000016
2018-07-31,2018-07-31,50110330,124792.29840000026
2018-08-31,2018-08-31,50110330,108261.74609999999
2018-09-30,2018-09-30,50110330,108749.87989999987
2018-10-31,2018-10-31,50110330,100742.04379999972
2018-11-30,2018-11-30,50110330,88507.57360000028
2018-12-31,2018-12-31,50110330,112676.33229999973
2019-01-31,2019-01-31,50110330,138739.12210000033
2019-02-28,2019-02-28,50110330,110824.7145000002
2019-03-31,2019-03-31,50110330,166086.88129999975
2019-04-30,2019-04-30,50110330,87482.75980000012
2019-05-31,2019-05-31,50110330,71057.37019999984
2019-06-30,2019-06-30,50110330,53980.129400000034
2019-07-31,2019-07-31,50110330,76124.45719999995
2019-08-31,2019-08-31,50110330,173528.8272000005
2019-09-30,2019-09-30,50110330,79423.05120000009
2019-10-31,2019-10-31,50110330,54546.810600000026
2019-11-30,2019-11-30,50110330,65253.70999999999
2019-12-31,2019-12-31,50110330,116178.77430000006
2020-01-31,2020-01-31,50110330,104524.22620000219
2020-02-29,2020-02-29,50110330,79373.91640000099
2020-03-31,2020-03-31,50110330,128743.16210000386
2020-04-30,2020-04-30,50110330,76254.51540000092
2020-05-31,2020-05-31,50110330,49786.87700000005
2020-06-30,2020-06-30,50110330,59335.00410000008
2020-07-31,2020-07-31,50110330,104600.94619999977
2020-08-31,2020-08-31,50110330,112160.95040000029
2020-09-30,2020-09-30,50110330,74761.15810000112
2020-10-31,2020-10-31,50110330,68827.5194000006
2020-11-30,2020-11-30,50110330,65953.07059999982
2020-12-31,2020-12-31,50110330,145253.43899999853
2021-01-31,2021-01-31,50110330,91128.78329999888
2021-02-28,2021-02-28,50110330,70871.47659999867
2021-03-31,2021-03-31,50110330,110235.76829999991
2021-04-30,2021-04-30,50110330,56885.605299999974
2021-05-31,2021-05-31,50110330,58491.02869999953
2021-06-30,2021-06-30,50110330,66017.83969999864
2018-01-31,2018-01-31,50110510,70634.12330000018
2018-02-28,2018-02-28,50110510,57874.513700000105
2018-03-31,2018-03-31,50110510,61273.9846000002
2018-04-30,2018-04-30,50110510,67588.1236
2018-05-31,2018-05-31,50110510,68677.01489999978
2018-06-30,2018-06-30,50110510,65347.56500000015
2018-07-31,2018-07-31,50110510,67802.85790000013
2018-08-31,2018-08-31,50110510,58425.606399999895
2018-09-30,2018-09-30,50110510,63319.84979999991
2018-10-31,2018-10-31,50110510,63453.06680000007
2018-11-30,2018-11-30,50110510,52083.32849999994
2018-12-31,2018-12-31,50110510,63039.46310000017
2019-01-31,2019-01-31,50110510,52524.36990000006
2019-02-28,2019-02-28,50110510,68447.33500000004
2019-03-31,2019-03-31,50110510,62600.44300000017
2019-04-30,2019-04-30,50110510,68879.57539999993
2019-05-31,2019-05-31,50110510,65264.4997
2019-06-30,2019-06-30,50110510,80363.06170000011
2019-07-31,2019-07-31,50110510,91809.73640000017
2019-08-31,2019-08-31,50110510,73141.96680000002
2019-09-30,2019-09-30,50110510,72649.84909999998
2019-10-31,2019-10-31,50110510,79121.93610000025
2019-11-30,2019-11-30,50110510,78772.09539999973
2019-12-31,2019-12-31,50110510,81712.3830000002
2020-01-31,2020-01-31,50110510,93203.08099999971
2020-02-29,2020-02-29,50110510,31014.227000000265
2020-03-31,2020-03-31,50110510,60883.58580000017
2020-04-30,2020-04-30,50110510,58560.44800000051
2020-05-31,2020-05-31,50110510,52671.53979999991
2020-06-30,2020-06-30,50110510,67440.55520000005
2020-07-31,2020-07-31,50110510,67657.22100000009
2020-08-31,2020-08-31,50110510,52796.67249999999
2020-09-30,2020-09-30,50110510,50362.0719999989
2020-10-31,2020-10-31,50110510,65742.8594999982
2020-11-30,2020-11-30,50110510,57955.190199999815
2020-12-31,2020-12-31,50110510,58122.78430000021
2021-01-31,2021-01-31,50110510,57015.763800001
2021-02-28,2021-02-28,50110510,65113.02820000034
2021-03-31,2021-03-31,50110510,59716.48600000018
2021-04-30,2021-04-30,50110510,65168.21780000006
2021-05-31,2021-05-31,50110510,62330.08869999922
2021-06-30,2021-06-30,50110510,66154.74489999944
2018-01-31,2018-01-31,50110520,73894.59779999976
2018-02-28,2018-02-28,50110520,85534.80550000022
2018-03-31,2018-03-31,50110520,64702.90590000022
2018-04-30,2018-04-30,50110520,62590.742599999925
2018-05-31,2018-05-31,50110520,72019.85419999983
2018-06-30,2018-06-30,50110520,67292.06229999993
2018-07-31,2018-07-31,50110520,86516.34480000015
2018-08-31,2018-08-31,50110520,65257.68899999985
2018-09-30,2018-09-30,50110520,69828.95500000019
2018-10-31,2018-10-31,50110520,57119.948100000125
2018-11-30,2018-11-30,50110520,68674.89510000033
2018-12-31,2018-12-31,50110520,82188.43120000014
2019-01-31,2019-01-31,50110520,106169.90799999947
2019-02-28,2019-02-28,50110520,78670.21799999994
2019-03-31,2019-03-31,50110520,86716.57180000054
2019-04-30,2019-04-30,50110520,87604.5540999996
2019-05-31,2019-05-31,50110520,88686.33519999948
2019-06-30,2019-06-30,50110520,72029.98370000017
2019-07-31,2019-07-31,50110520,102419.89550000036
2019-08-31,2019-08-31,50110520,93911.50110000026
2019-09-30,2019-09-30,50110520,96097.29910000021
2019-10-31,2019-10-31,50110520,81800.41680000022
2019-11-30,2019-11-30,50110520,95456.3255
2019-12-31,2019-12-31,50110520,102546.0726999994
2020-01-31,2020-01-31,50110520,108502.86440000244
2020-02-29,2020-02-29,50110520,92568.63060000062
2020-03-31,2020-03-31,50110520,84822.7931000001
2020-04-30,2020-04-30,50110520,69326.05990000034
2020-05-31,2020-05-31,50110520,77612.61540000021
2020-06-30,2020-06-30,50110520,75129.35940000009
2020-07-31,2020-07-31,50110520,94487.21989999976
2020-08-31,2020-08-31,50110520,87171.34940000054
2020-09-30,2020-09-30,50110520,89813.96560000035
2020-10-31,2020-10-31,50110520,82487.5710000004
2020-11-30,2020-11-30,50110520,75940.43639999989
2020-12-31,2020-12-31,50110520,83367.08059999974
2021-01-31,2021-01-31,50110520,86376.46640000137
2021-02-28,2021-02-28,50110520,75851.40780000103
2021-03-31,2021-03-31,50110520,80950.15870000009
2021-04-30,2021-04-30,50110520,79527.34359999989
2021-05-31,2021-05-31,50110520,75415.82149999989
2021-06-30,2021-06-30,50110520,76380.96230000141
2018-01-31,2018-01-31,50110530,93006.02390000007
2018-02-28,2018-02-28,50110530,71155.80379999983
2018-03-31,2018-03-31,50110530,79427.84709999998
2018-04-30,2018-04-30,50110530,80898.60419999991
2018-05-31,2018-05-31,50110530,82765.29029999985
2018-06-30,2018-06-30,50110530,84722.8487
2018-07-31,2018-07-31,50110530,102162.3444000007
2018-08-31,2018-08-31,50110530,93753.36550000017
2018-09-30,2018-09-30,50110530,96796.94100000011
2018-10-31,2018-10-31,50110530,96461.76269999972
2018-11-30,2018-11-30,50110530,87348.9142000004
2018-12-31,2018-12-31,50110530,98035.99610000003
2019-01-31,2019-01-31,50110530,111318.91180000035
2019-02-28,2019-02-28,50110530,106309.8811000002
2019-03-31,2019-03-31,50110530,106228.41920000035
2019-04-30,2019-04-30,50110530,111736.02480000038
2019-05-31,2019-05-31,50110530,115727.82640000014
2019-06-30,2019-06-30,50110530,121173.09969999944
2019-07-31,2019-07-31,50110530,139385.37639999992
2019-08-31,2019-08-31,50110530,132300.93140000026
2019-09-30,2019-09-30,50110530,110552.01679999998
2019-10-31,2019-10-31,50110530,129899.66030000012
2019-11-30,2019-11-30,50110530,91118.02510000042
2019-12-31,2019-12-31,50110530,91259.94759999968
2020-01-31,2020-01-31,50110530,94801.45960000023
2020-02-29,2020-02-29,50110530,96478.84000000135
2020-03-31,2020-03-31,50110530,86670.62670000116
2020-04-30,2020-04-30,50110530,84063.47750000123
2020-05-31,2020-05-31,50110530,88566.39030000026
2020-06-30,2020-06-30,50110530,99276.90649999992
2020-07-31,2020-07-31,50110530,106071.97310000048
2020-08-31,2020-08-31,50110530,100659.95830000016
2020-09-30,2020-09-30,50110530,101644.3584000006
2020-10-31,2020-10-31,50110530,99606.43210000123
2020-11-30,2020-11-30,50110530,103677.97790000013
2020-12-31,2020-12-31,50110530,104617.91240000205
2021-01-31,2021-01-31,50110530,90923.70390000172
2021-02-28,2021-02-28,50110530,95640.99790000022
2021-03-31,2021-03-31,50110530,107182.9490999996
2021-04-30,2021-04-30,50110530,102690.64159999932
2021-05-31,2021-05-31,50110530,103184.1761000004
2021-06-30,2021-06-30,50110530,95544.27150000026
2018-01-31,2018-01-31,50110540,211534.14220000056
2018-02-28,2018-02-28,50110540,184856.08029999968
2018-03-31,2018-03-31,50110540,185494.3785
2018-04-30,2018-04-30,50110540,187746.43730000002
2018-05-31,2018-05-31,50110540,196964.2830000001
2018-06-30,2018-06-30,50110540,195731.70270000002
2018-07-31,2018-07-31,50110540,204901.33119999972
2018-08-31,2018-08-31,50110540,214606.9070000007
2018-09-30,2018-09-30,50110540,175722.4742000001
2018-10-31,2018-10-31,50110540,182742.03000000038
2018-11-30,2018-11-30,50110540,192747.93709999984
2018-12-31,2018-12-31,50110540,185034.05139999994
2019-01-31,2019-01-31,50110540,236999.33579999924
2019-02-28,2019-02-28,50110540,202048.87100000022
2019-03-31,2019-03-31,50110540,228706.9648000016
2019-04-30,2019-04-30,50110540,195831.55710000073
2019-05-31,2019-05-31,50110540,229946.2458000019
2019-06-30,2019-06-30,50110540,229627.37130000145
2019-07-31,2019-07-31,50110540,282299.456099999
2019-08-31,2019-08-31,50110540,255234.36180000004
2019-09-30,2019-09-30,50110540,244019.2931
2019-10-31,2019-10-31,50110540,246469.18949999847
2019-11-30,2019-11-30,50110540,232955.44880000068
2019-12-31,2019-12-31,50110540,227492.39110000076
2020-01-31,2020-01-31,50110540,233755.41510000473
2020-02-29,2020-02-29,50110540,219395.4597000103
2020-03-31,2020-03-31,50110540,248951.4876000082
2020-04-30,2020-04-30,50110540,233106.2583000099
2020-05-31,2020-05-31,50110540,235492.72590000014
2020-06-30,2020-06-30,50110540,210735.01500000036
2020-07-31,2020-07-31,50110540,241015.65599999987
2020-08-31,2020-08-31,50110540,216136.0976000005
2020-09-30,2020-09-30,50110540,220084.2650999985
2020-10-31,2020-10-31,50110540,219095.1371000025
2020-11-30,2020-11-30,50110540,212189.5622000006
2020-12-31,2020-12-31,50110540,218060.94109999703
2021-01-31,2021-01-31,50110540,201497.67780000617
2021-02-28,2021-02-28,50110540,183131.04520000517
2021-03-31,2021-03-31,50110540,229957.05189999996
2021-04-30,2021-04-30,50110540,202561.1130000004
2021-05-31,2021-05-31,50110540,238226.09749999517
2021-06-30,2021-06-30,50110540,203937.39559999775
2018-01-31,2018-01-31,50110550,52884.990999999856
2018-02-28,2018-02-28,50110550,43180.197100000034
2018-03-31,2018-03-31,50110550,54990.894099999925
2018-04-30,2018-04-30,50110550,45621.86099999996
2018-05-31,2018-05-31,50110550,55028.47089999987
2018-06-30,2018-06-30,50110550,55994.280100000105
2018-07-31,2018-07-31,50110550,55068.600700000046
2018-08-31,2018-08-31,50110550,57106.908599999995
2018-09-30,2018-09-30,50110550,73335.80010000017
2018-10-31,2018-10-31,50110550,60765.44250000017
2018-11-30,2018-11-30,50110550,58119.00220000008
2018-12-31,2018-12-31,50110550,59306.3457
2019-01-31,2019-01-31,50110550,72173.80929999998
2019-02-28,2019-02-28,50110550,58502.26620000012
2019-03-31,2019-03-31,50110550,69327.71830000005
2019-04-30,2019-04-30,50110550,66302.65440000007
2019-05-31,2019-05-31,50110550,76008.48189999998
2019-06-30,2019-06-30,50110550,78625.13079999997
2019-07-31,2019-07-31,50110550,85762.99050000047
2019-08-31,2019-08-31,50110550,87247.89330000005
2019-09-30,2019-09-30,50110550,64457.90599999997
2019-10-31,2019-10-31,50110550,65477.8507
2019-11-30,2019-11-30,50110550,72290.80040000002
2019-12-31,2019-12-31,50110550,73331.14930000003
2020-01-31,2020-01-31,50110550,59472.1145999999
2020-02-29,2020-02-29,50110550,59949.40799999977
2020-03-31,2020-03-31,50110550,52472.274099999915
2020-04-30,2020-04-30,50110550,60589.16659999984
2020-05-31,2020-05-31,50110550,62854.42539999998
2020-06-30,2020-06-30,50110550,65122.35259999999
2020-07-31,2020-07-31,50110550,70119.8398999999
2020-08-31,2020-08-31,50110550,63016.52269999997
2020-09-30,2020-09-30,50110550,61839.217099999245
2020-10-31,2020-10-31,50110550,62790.520800000115
2020-11-30,2020-11-30,50110550,57276.57499999984
2020-12-31,2020-12-31,50110550,57631.42090000004
2021-01-31,2021-01-31,50110550,54015.92900000045
2021-02-28,2021-02-28,50110550,57021.33680000069
2021-03-31,2021-03-31,50110550,66860.47590000024
2021-04-30,2021-04-30,50110550,59664.84719999974
2021-05-31,2021-05-31,50110550,65047.08210000019
2021-06-30,2021-06-30,50110550,59606.7437000006
2018-01-31,2018-01-31,50110560,67806.03100000008
2018-02-28,2018-02-28,50110560,59072.62759999981
2018-03-31,2018-03-31,50110560,62446.03260000004
2018-04-30,2018-04-30,50110560,71982.69450000017
2018-05-31,2018-05-31,50110560,81552.01749999984
2018-06-30,2018-06-30,50110560,87610.9638999999
2018-07-31,2018-07-31,50110560,78444.4680000002
2018-08-31,2018-08-31,50110560,99277.73279999997
2018-09-30,2018-09-30,50110560,97655.42940000027
2018-10-31,2018-10-31,50110560,88180.49489999999
2018-11-30,2018-11-30,50110560,86387.49100000037
2018-12-31,2018-12-31,50110560,90382.79280000008
2019-01-31,2019-01-31,50110560,91758.06229999996
2019-02-28,2019-02-28,50110560,107223.7531
2019-03-31,2019-03-31,50110560,95583.64110000028
2019-04-30,2019-04-30,50110560,93502.03720000043
2019-05-31,2019-05-31,50110560,105363.1372999997
2019-06-30,2019-06-30,50110560,120903.52939999942
2019-07-31,2019-07-31,50110560,118739.0423000005
2019-08-31,2019-08-31,50110560,110673.90680000014
2019-09-30,2019-09-30,50110560,102988.13580000016
2019-10-31,2019-10-31,50110560,106144.22880000049
2019-11-30,2019-11-30,50110560,110392.38780000032
2019-12-31,2019-12-31,50110560,97438.55089999997
2020-01-31,2020-01-31,50110560,101301.6302000018
2020-02-29,2020-02-29,50110560,93058.52240000115
2020-03-31,2020-03-31,50110560,73508.00029999991
2020-04-30,2020-04-30,50110560,81767.87910000037
2020-05-31,2020-05-31,50110560,87628.60680000027
2020-06-30,2020-06-30,50110560,96773.06569999976
2020-07-31,2020-07-31,50110560,113882.2571000004
2020-08-31,2020-08-31,50110560,104325.80570000043
2020-09-30,2020-09-30,50110560,81436.48040000015
2020-10-31,2020-10-31,50110560,88386.22460000105
