base_date,emd_cd,korean_resd,korean_work,korean_visit,long_term_frgn_resd,long_term_frgn_work,long_term_frgn_visit,short_term_frgn_visit,resident_fe_korean,resident_fe_frgn,resident_m_korean,resident_m_frgn,card_cnt_home,card_amt_home,card_cnt_out,card_amt_out,waste_cnt,waste_amt
26,2018-07-31,50110253,21546769.34740005,2302680.704700001,16904350.89490006,696789.9247000007,58242.81669999995,444098.8411999978,465595.5131000032,16874,490,18069,545,602.9935483870968,21643235.587096773,445.53216374269005,13634990.50877193,5031,9775900
27,2018-08-31,50110253,22005215.747999985,2364304.154000024,18025718.93100008,659448.0573999982,89284.58069999963,686536.6135000015,528309.2726999947,16916,480,18129,534,616.4740259740261,22575777.28571429,464.97076023391816,14102214.748538012,4454,7980150
28,2018-09-30,50110253,20809153.95990008,2076452.5597000038,14879789.763000084,723043.5260999929,78458.18129999991,643741.5167000004,571870.0110999992,16958,498,18182,544,575.3066666666666,22580949.96,441.9689440993789,13228254.05590062,3689,6243150
29,2018-10-31,50110253,21583749.24690002,2351949.327300005,15347156.588100005,752249.1716000013,86365.09820000008,608808.0173000018,581161.9944000021,17027,529,18273,565,555.9032258064517,20317644.406451613,453.4606060606061,12919457.496969694,3537,5927500
30,2018-11-30,50110253,21064351.93329981,2430751.6799999746,14019146.65119999,824452.1791000003,76175.74579999968,647050.923399998,491485.1055999941,17062,540,18340,554,553.5066666666668,20473680.37333333,449.02453987730064,13463863.26993865,3388,6189400
31,2018-12-31,50110253,22329802.99710005,2320232.8683000016,13600262.86390004,822827.9532000005,99721.17810000024,617440.4512000047,445648.08310000354,17097,551,18354,548,560.941935483871,20339036.612903226,455.810650887574,14401311.686390532,3289,6749250
32,2019-01-31,50110253,22608518.25829997,2089379.824100004,15005962.444999885,793190.0918000031,96856.70789999996,942776.7899000036,465023.4271,17078,553,18400,615,518.5612903225806,19344324.767741933,437.7705882352941,13386796.047058824,3129,6324700
33,2019-02-28,50110253,20100450.462500077,1740341.2938999946,13268313.281199945,631317.9228999965,65977.87550000014,578704.514199995,488870.1010999962,17165,550,18425,604,520.2071428571429,20383885.1,427.87581699346407,13159290.921568628,2811,5733100
34,2019-03-31,50110253,21920410.06450004,2038502.3612999932,15742730.511500105,676384.921900004,92758.17450000043,987254.6951000108,561388.9039000041,17217,519,18517,596,546.2645161290322,19408831.15483871,472.9760479041916,14224537.916167665,3015,6057700
35,2019-04-30,50110253,21683176.33780001,2514232.635799977,15008005.068799956,671100.1928000029,97363.6590000008,737819.9144000065,605716.8636999942,17255,526,18541,580,586.1066666666667,20180398.593333334,488.10559006211184,14352467.273291925,2997,5753700
36,2019-05-31,50110253,22285007.83020007,2520684.96809999,15924588.056599915,719430.5996000004,66945.56420000027,638054.7315999914,580525.8862000088,17333,519,18585,582,578.6903225806452,20053096.21935484,493.50595238095235,14840602.63095238,4231,7364450
37,2019-06-30,50110253,21742806.08459992,2363489.2714000028,14750730.027300078,715023.500100003,41525.224900000256,672758.2218000026,628504.6011000007,17380,498,18666,572,582.2733333333333,19771546.04,467.7041420118344,13894814.159763316,4795,8786950
38,2019-07-31,50110253,22485952.134400006,2314505.529199997,16476166.595599953,741511.6756999965,45322.37050000003,576155.4505999985,625662.0700000029,17388,496,18663,572,611.8709677419355,20487866.81935484,514.8343195266274,14432301.50295858,5287,9908000
39,2019-08-31,50110253,22619226.6627,2280171.036500005,18053668.04389993,664264.4148000062,52220.38289999998,835986.9017000039,685914.5362999989,17390,499,18666,572,626.7806451612903,22292478.80645161,507.8983050847457,15003568.485875707,5390,9669800
40,2019-09-30,50110253,21363135.58470001,2047349.5328000088,14010067.953200065,632820.9827999972,74313.10900000017,661086.2651999986,600771.3899999871,17417,514,18693,570,598.2866666666666,22548473.41333333,462.1212121212122,13114161.127272727,4749,8122000
41,2019-10-31,50110253,22190440.606099907,2331445.954500015,15728901.68090002,631634.763000001,78778.04170000095,836469.5330000028,712349.7328999826,17439,542,18693,573,603.0258064516129,20583355.767741933,519.6011904761905,14655105.547619047,4479,7338950
42,2019-11-30,50110253,21931272.49670007,2331790.2454999983,14653373.336199993,689851.9247000002,90915.2657,805554.4180999956,633132.4811999899,17484,549,18698,568,584.1266666666667,20192246.02,513.9454545454546,14928009.636363635,6869,15380950
43,2019-12-31,50110253,22930554.29359993,2313927.7819999917,14652763.673200045,717572.2533999969,86608.60689999987,1012686.0873999948,658145.0506999912,17515,541,18718,571,601.4451612903226,22120645.83870968,517.1242603550296,15833045.95266272,13387,40070100
44,2020-01-31,50110253,22667545.740799896,2089965.2050999976,15638877.057400027,691870.6331000155,107269.57260000029,874603.9502999749,564525.8722999863,17489,546,18697,578,580.5032258064516,22662572.92903226,472.23668639053255,14246355.153846156,18289,58435300
45,2020-02-29,50110253,22256363.24630007,1952222.425500009,11847882.26000006,673044.2363000261,106848.23440000034,921961.7553999791,133738.68970000072,17549,547,18784,566,566.4482758620691,20212004.07586207,456.09740259740266,13246943.11038961,19199,58395800
46,2020-03-31,50110253,24537893.33230005,2109791.029800016,11848168.267499901,772163.8032000203,114830.78410000287,776089.3323999924,136194.7322000025,17570,526,18789,548,610.1290322580645,21418324.677419353,479.04458598726114,13997783.757961785,23171,66494950
47,2020-04-30,50110253,23584398.58980001,1964441.6284,11594444.075200055,742920.1387000328,117763.62720000707,776976.6665999743,90465.07320000102,17590,507,18806,541,624.66,22533447.64666667,502.36601307189545,15077432.8627451,23199,66115500
48,2020-05-31,50110253,24047861.63920002,1989247.5332999898,13460140.592800027,605678.6042000073,68285.08420000023,595476.6159999999,9523.290599999822,17675,506,18841,529,681.2774193548387,24860323.07096774,533.1506024096385,16521423.837349398,29041,80917650
49,2020-06-30,50110253,22955250.34799987,2022104.8498000032,13624154.771900028,509763.4698000022,59478.02330000002,527652.7732000019,12520.869699999963,17721,507,18895,523,660.34,22855527.83333333,528.7610062893082,15499450.289308175,30249,78356550
50,2020-07-31,50110253,24026157.709200066,2413427.7545999982,14490544.705100082,525251.8586000007,41188.12680000007,624579.3352000085,16157.141599999752,17780,509,18925,526,639.858064516129,23139870.277419355,512.2181818181818,14885999.672727272,40444,104291450
51,2020-08-31,50110253,24339021.939100016,2346370.6974000195,17280972.47369995,570288.9758000043,56206.003600000266,698168.5819000076,23282.39249999996,17838,512,18977,520,698.0774193548388,25699246.68387097,549.339393939394,16684766.854545455,43067,112411340
52,2020-09-30,50110253,23583425.92909992,2137923.9074999983,13523208.712199913,561875.3393999912,69284.1913000002,777952.7690999744,30376.54930000025,17851,470,18959,508,709.8533333333335,27981705.58,542.9933774834436,15648549.34437086,37419,84883500
53,2020-10-31,50110253,24441759.99539998,2096765.6427000028,16507221.5681,577641.8989999929,76927.79810000178,777122.0303999797,37342.72850000019,17840,477,18959,511,628.9870967741937,23675665.82580645,538.9689440993789,16282640.391304348,36791,87842750
54,2020-11-30,50110253,24829190.62590004,2460172.9396000016,16792304.415100046,607501.754900001,87164.51430000013,881858.0159999892,25939.63619999992,17850,480,18992,509,643.7333333333332,24542425.5,506.34567901234567,15155159.271604937,34200,89782750
55,2020-12-31,50110253,27103640.65139996,2501464.501099994,13706286.762999974,687106.2356999734,72277.79750000074,853269.6919999436,34312.868800000186,17888,481,19025,504,670.3935483870968,26070272.57419355,444.0869565217391,12332704.788819876,33615,88980300
56,2021-01-31,50110253,27725974.478799995,2178649.5623000073,13070908.775000045,707869.152600012,90399.09020000145,827665.7729999559,15045.263800000224,17910,479,19026,489,639.8645161290323,24259331.509677414,424.11949685534586,11639107.31446541,32503,84554750
57,2021-02-28,50110253,24158326.06820005,1806487.2937999943,14485127.952900115,629729.2512000074,84076.11150000065,601835.1495999967,11231.388800000052,17989,478,19017,472,657.0571428571427,25814323.95,463.93793103448274,12963499.855172414,30567,81911700
58,2021-03-31,50110253,25739691.30420004,2233597.069899987,16941028.178600024,669095.9055000036,74564.20899999996,964395.5894999945,28620.388800000244,18045,476,19027,467,663.1806451612903,25052870.78709677,490.71428571428567,14090139.73809524,33859,90262150
59,2021-04-30,50110253,25404028.51510009,2711855.067499986,16555115.585399978,703249.144500005,114752.06679999981,683954.4901999974,28652.63640000036,18096,491,19031,462,695.06,25911332.14666667,520.33125,14997493.91875,35383,91456441
60,2021-05-31,50110253,26554023.44180004,2579309.616899996,17951208.72670011,670429.0838000206,88169.47949999932,714166.152300024,27273.02650000017,18148,502,19075,472,714.4774193548387,26477444.812903225,523.5493827160493,15420799.25925926,41080,103211100
61,2021-06-30,50110253,25403491.44740001,2461365.302299985,17417364.071399964,621337.5025999887,71080.80679999923,611145.6255999792,27754.83149999981,18215,495,19122,466,721.54,26254579.65333333,500.7987421383648,13763108.798742138,42490,103756400
62,2019-11-30,50110256,8136001.309700054,972842.3046000088,4847938.000199974,293280.9137000003,22759.6435,138686.77050000028,71072.25310000076,7565,203,7991,455,185.02,6224116.973333334,147.44295302013427,4619092.510067114,593,2720350
63,2019-12-31,50110256,8457200.47040002,961137.3283000014,4964375.213999997,286988.24149999954,19416.854500000005,170278.0357000003,66745.93620000084,7575,203,8014,440,185.74193548387098,6305700.767741935,142.17834394904457,4462493.108280255,2942,11540750
64,2020-01-31,50110256,8492556.896200001,708586.0525000016,5579040.863800013,297422.37009999464,19528.665399999994,142721.2636000058,62958.29529999957,7545,206,8004,448,180.7467532467533,6653175.7272727275,134.97350993377486,4221550.80794702,5800,21059800
65,2020-02-29,50110256,8157704.671800013,646413.3107999992,3734100.6979999933,282199.96349999675,20267.3268999996,127311.71560000535,24419.239300000085,7546,206,8008,442,173.97931034482758,5757431.889655173,133.68345323741008,4045652.244604317,6097,19992650
66,2020-03-31,50110256,8925981.410700027,716399.2939000016,4138840.672799975,318279.3317999921,21956.4519999996,147672.36429999935,8923.353799999884,7525,200,7989,425,198.38709677419357,6576936.774193549,138.4397163120567,4102271.205673759,7258,22170750
67,2020-04-30,50110256,8649851.366300019,706467.9173000007,4055338.3584000343,343464.55679998995,9643.147400000122,143905.00890000394,6556.73409999993,7484,196,7949,422,204.76666666666668,6313418.2,143.75342465753425,4426811.595890411,7488,21849950
68,2020-05-31,50110256,8770860.370800033,706857.889299997,5101971.509500015,324451.66259999987,20698.194499999863,149951.95940000008,447.55930000000063,7497,196,7955,418,240.9161290322581,8394036.15483871,169.56603773584905,5417896.993710692,9516,27501450
69,2020-06-30,50110256,8496973.729300018,809235.9675999987,5227917.554800003,312132.7069999989,30299.679300000014,137821.61139999918,1260.7750999999905,7498,195,7968,416,237.24161073825505,8051160.120805369,170.3426573426573,5214838.013986014,9180,25651800
70,2020-07-31,50110256,8914718.078499997,1238807.498299998,5880812.8170000035,323874.5448000001,16182.82909999998,240107.25009999823,1645.1137000000094,7513,192,7986,410,232.36774193548385,7777693.6193548385,158.07272727272724,4773676.393939394,13077,37079550
71,2020-08-31,50110256,9113901.938499983,910786.7976999972,7347811.88609998,350792.5887000009,14324.598499999986,222869.0739000013,791.3201999999968,7531,188,7993,406,260.6709677419355,8937628.012903228,175.68211920529805,5397794.36423841,14184,41169850
72,2020-09-30,50110256,8970567.227499986,792125.0114000103,5034967.8681999985,366866.5616999898,19382.05809999989,122315.73250000193,756.6694999999993,7545,188,7986,409,255.74666666666667,9641076.473333333,165.56944444444446,4926705.034722222,11770,31084150
73,2020-10-31,50110256,9188725.509899983,883764.9319999937,6087846.539200002,366392.84099999396,6824.873799999887,113666.21000000135,1047.427699999997,7546,184,8000,411,224.23225806451612,7775245.477419355,171.42384105960264,5110600.304635761,11513,31478700
74,2020-11-30,50110256,9149511.567700002,998560.5521999943,5809445.010700015,345626.69169999915,12379.40610000005,110793.90840000019,1704.3385999999698,7557,181,8000,415,230.82,8106498.093333334,168.53846153846158,5002175.937062937,10253,30118550
75,2020-12-31,50110256,9784302.04419999,901771.2210999968,4376718.565000016,353239.1339000145,8419.704900000093,133735.17330000474,852.1112000000016,7555,177,7991,406,228.3741935483871,7951582.458064516,144.7463768115942,4025758.855072464,9802,26978450
76,2021-01-31,50110256,9888182.037200043,726273.6649000037,4235038.583999981,353826.75580001157,15180.347500000458,115228.96620000176,184.01960000000042,7542,178,7970,409,219.43225806451613,7533908.341935484,138.4857142857143,3974000.4357142863,9025,25143650
77,2021-02-28,50110256,8855820.505300006,635887.6741999985,5199339.698399998,320668.1334000051,19122.5590000002,115483.5867999999,338.97379999999737,7551,181,7979,402,222.78417266187049,8437688.517985612,147.3515625,4196817.5703125,8833,26678900
78,2021-03-31,50110256,9569501.347499948,770839.3692999991,5955885.82459998,312773.02650000085,16947.662399999972,143924.62629999965,1217.7156999999754,7487,174,7925,399,212.61935483870968,7313061.896774192,151.19871794871798,4434084.128205128,10269,30919350
79,2021-04-30,50110256,9384829.50410002,1099098.7106999941,6358020.548900061,274030.9734999983,23576.772999999965,109969.29470000033,1150.540299999985,7495,174,7930,392,221.2733333333333,8101942.706666668,147.0769230769231,4392108.365384615,11197,33131350
80,2021-05-31,50110256,9826473.98360003,980389.8931000018,6896474.310100012,293018.0346999871,15891.194600000144,145115.06580000315,1338.922100000011,7487,171,7915,390,222.5161290322581,8387073.419354837,163.23809523809524,4897424.442176871,12014,34451200
81,2021-06-30,50110256,9519317.554100012,972564.3790999984,6687961.581699972,282002.9953999998,13832.800599999942,152016.5943000018,1146.1990000000067,7481,162,7920,392,228.6533333333333,8656464.626666667,164.13138686131387,4692315.211678832,14031,37807150
82,2019-11-30,50110259,12718021.841400007,1481917.736300006,8978597.715000028,326135.1376000015,24318.9742,217313.78210000106,130799.19839999976,11977,257,12637,367,430.1133333333333,13913725.526666667,329.82530120481925,9478497.361445785,1024,3136800
83,2019-12-31,50110259,13240122.952399993,1537231.4128999962,8834188.458900068,333646.3437999998,32511.78450000009,299321.8605000004,154290.40520000193,12004,269,12666,374,437.95483870967735,14959894.387096776,310.3028571428572,9737059.434285713,5650,19805800
84,2020-01-31,50110259,13235144.368299956,1332795.8054999993,9247554.311000077,336384.11049999524,31252.52670000029,226037.76740000962,145122.62300000232,12056,275,12747,376,407.8193548387097,14321649.18064516,300.01183431952666,9272527.526627218,10538,33574800
85,2020-02-29,50110259,12906464.11569994,1200645.9032999992,6450334.06739998,339923.02480000193,19154.19710000045,212212.56050000686,37937.26540000031,12117,283,12820,369,415.0344827586207,13822484.386206895,282.0736196319018,8143845.472392637,11046,33456300
86,2020-03-31,50110259,14267145.90449997,1237186.6087,6185093.705999975,402106.8387999979,15706.582200000083,219191.40329999852,17798.381000000023,12152,279,12812,365,454.22580645161287,15559741.677419355,279.5266272189349,7939169.437869823,14303,41512450
87,2020-04-30,50110259,13693508.98099992,1166430.1727999954,6159547.9824999925,389437.75009999576,24469.971800000287,207531.58540000426,12225.361099999922,12167,283,12828,368,469.34,15996769.493333334,315.9130434782609,9322708.44720497,14120,38425250
88,2020-05-31,50110259,13941817.959799998,1211067.107800004,7725192.9654000215,348491.95819999854,14611.733299999969,177606.50920000055,1714.1487999999881,12172,259,12804,340,520.1741935483869,18040928.19354839,360.25581395348837,10613848.476744186,17139,47353700
89,2020-06-30,50110259,13190699.140200002,1261374.3157999956,7754767.534600018,314913.9044000005,16337.104999999983,209488.62300000057,1677.3001000000068,12235,253,12823,333,503.28,16957954.0,344.6566265060241,9685186.379518073,20172,51258650
90,2020-07-31,50110259,13701983.538299955,1564509.6846000003,8724605.35149995,332394.9817999989,15309.87499999999,294453.6760999986,3073.0039000000343,12276,253,12873,330,478.0774193548387,15767867.258064516,336.6629213483146,9534254.511235954,27477,69350400
91,2020-08-31,50110259,14061388.854899995,1447201.6552999888,10507984.17240001,343371.4629000002,20806.16869999995,303213.58530000487,4245.768700000006,12286,250,12882,324,522.7935483870967,17679884.225806452,357.52662721893483,10507784.065088758,29281,77823096
92,2020-09-30,50110259,13626320.586899942,1288854.9594,7142288.023599993,343274.40849998983,16156.572700000164,165610.0683999959,4808.190799999997,12334,251,12912,318,535.8066666666666,20758721.68,367.4765100671141,10275628.234899327,24718,55652450
93,2020-10-31,50110259,13935845.268000027,1313453.8435999986,9407922.249799967,343309.55570000026,22152.64629999972,205138.1603999932,4661.3478000000205,12360,255,12935,313,472.5354838709677,16535307.658064514,359.47560975609764,10455486.957317073,23921,54787850
94,2020-11-30,50110259,14060614.350899965,1424283.981200004,9335240.86709998,377547.99689999904,23697.199399999947,195463.38970000003,3710.475399999953,12378,259,12950,316,472.92,16598195.24,349.01886792452825,10313660.528301887,21115,51482850
95,2020-12-31,50110259,15400167.627300026,1473154.6364999881,7036967.4950000215,406514.2832000203,18391.66180000022,206396.5557999916,5811.553099999972,12381,256,12958,310,491.2193548387097,18119046.44516129,297.01910828025484,8169933.471337579,21164,52436150
96,2021-01-31,50110259,15728150.231500026,1223123.4615999963,6544944.751099982,414282.5040000111,18892.765800000216,145970.33110000685,1741.2512000000165,12398,249,12963,309,466.5290322580645,16764676.90967742,296.48,7982812.26,21511,53697250
97,2021-02-28,50110259,13701706.827199966,1009339.0547999956,7526990.067799987,328830.69490000076,12870.235600000336,149790.72180000454,1306.9415000000026,12427,246,12980,299,463.4428571428571,17808077.171428572,301.84397163120565,8388838.418439716,20543,52488300
98,2021-03-31,50110259,14383764.065100022,1316915.8571999946,8479893.904200038,323576.7205999981,23247.64289999995,201516.58639999907,2700.6723999999867,12364,246,12960,288,453.7935483870968,15561724.774193548,316.2453987730061,8988998.607361963,23945,59529200
99,2021-04-30,50110259,13984795.312800044,1586955.2165999934,9080136.930200053,313412.1985999976,18029.961300000006,165140.07090000113,3559.9571999999794,12390,244,12990,282,479.64,16929196.46,341.10691823899367,9971888.226415094,24691,58934750
100,2021-05-31,50110259,14821833.83530005,1563042.0773,9764891.18329996,364508.0722999884,20640.850100000243,190940.7800999969,3448.6048999999384,12425,245,13002,278,501.7677419354839,18636935.612903226,340.1987577639752,9691150.55279503,24836,58813300
101,2021-06-30,50110259,14334671.58280002,1518290.6202999984,9257179.114299964,336902.499499999,18932.353300000028,188740.43199999828,3476.50980000003,12422,242,13017,279,497.19333333333327,17362366.493333332,325.06451612903226,8697170.367741935,27732,63927750
102,2019-11-30,50110310,3995463.757800023,383038.17849999893,2131204.907200004,134301.4593000008,9334.695,119996.28710000057,28626.87110000004,4482,108,4577,260,98.30069930069929,3694051.3706293707,88.45161290322581,2713771.491935484,238,877750
103,2019-12-31,50110310,4126900.5897999885,369732.2013999989,2165991.6710999976,155466.22170000026,11959.943500000007,108510.31360000004,30752.69700000024,4485,107,4552,261,100.5496688741722,3792911.9602649007,93.30158730158729,3316792.53968254,1189,3832350
104,2020-01-31,50110310,4179992.533500007,327043.15969999897,2415902.3552999957,172930.93460000108,11381.31619999996,123654.76889999925,29922.402000000202,4485,108,4559,262,98.80132450331128,4074802.2913907287,80.9776119402985,2740938.4850746267,2855,11322700
105,2020-02-29,50110310,4259272.258299985,313694.00069999945,1840254.0978999862,172521.38580000188,12366.473799999743,139682.27710000216,11261.614899999802,4485,112,4560,259,88.52083333333331,3276581.5138888885,81.12295081967213,2578274.475409836,3101,11589200
106,2020-03-31,50110310,4714230.251099979,371956.96840000275,2044413.634499999,190094.27259999886,9263.14819999994,143943.7626000033,8421.370499999948,4484,110,4566,249,99.73856209150328,3959519.215686274,86.203007518797,2864587.6691729324,3932,14581450
107,2020-04-30,50110310,4601367.859800034,342599.1538000016,2018458.2802000036,182971.4118000034,7004.748400000034,176729.3631000021,4457.990499999977,4481,109,4540,247,103.14864864864865,3711529.141891892,94.1796875,3032856.9140625,4181,14346100
108,2020-05-31,50110310,4788884.404100008,357592.4506999981,2441408.2026999854,201800.2273000005,7545.926699999994,193024.69059999974,496.52600000000365,4475,130,4536,262,111.19078947368419,4489807.388157895,94.02127659574468,3079869.2482269504,5304,18264400
109,2020-06-30,50110310,4602456.759200006,354603.51850000024,2245281.176500001,213128.7311999987,5828.933100000004,134539.63119999954,790.4038000000045,4502,136,4559,270,101.54362416107382,4111396.201342282,89.74436090225565,2803024.4135338347,5109,17065400
110,2020-07-31,50110310,4790858.8909000065,455875.97250000143,2435240.4127999907,185881.4867999999,13693.384899999995,160877.73159999988,786.6218999999992,4509,138,4570,270,104.46405228758171,3959328.1111111115,92.7394366197183,2783661.887323944,6792,22484050
111,2020-08-31,50110310,4838276.90469997,396794.858500002,2898810.598999987,189707.63629999853,11031.530399999996,172961.82209999967,827.9992999999977,4505,137,4577,269,120.2,4936432.296774194,99.97014925373136,3260086.9850746267,7621,26330500
112,2020-09-30,50110310,4764556.923500009,400110.6905000014,2586050.037599994,194803.0824999913,17631.041900000004,204608.24639999465,1087.9284000000039,4494,135,4558,270,130.72666666666666,5917299.906666666,100.203125,3227246.8515625,6262,19161200
113,2020-10-31,50110310,4958339.456899984,382760.19839999976,2909295.1064999932,216181.4155999952,4829.395399999993,149177.88449999935,1294.7579999999934,4494,135,4555,269,112.95424836601308,4514024.241830065,94.81021897810218,3131835.2189781023,6217,18672150
114,2020-11-30,50110310,4921435.435299998,384620.5511999988,2532894.7456999854,201604.0306000001,10135.566500000012,94852.66049999988,777.3997999999983,4481,130,4538,265,111.04666666666668,4555486.46,95.8968253968254,3165601.492063492,5719,19279000
115,2020-12-31,50110310,5317545.615600007,398167.00110000366,2271917.2510999977,219371.58990000226,4298.228600000016,113083.80630000208,2420.3957999999816,4474,129,4555,264,106.86363636363636,4429503.461038961,75.67175572519083,2252828.603053435,5476,18862000
