base_date,emd_cd,fe_resid_reg_pop,fe_foreign_pop,m_resid_reg_pop,m_foreign_pop
590,2018-03-31,50110580,7684,137,7901,69
591,2018-04-30,50110580,7697,144,7893,79
592,2018-05-31,50110580,7702,148,7905,78
593,2018-06-30,50110580,7673,155,7894,80
594,2018-07-31,50110580,7670,160,7891,85
595,2018-08-31,50110580,7663,160,7879,81
596,2018-09-30,50110580,7647,166,7878,81
597,2018-10-31,50110580,7645,165,7882,82
598,2018-11-30,50110580,7616,166,7833,82
599,2018-12-31,50110580,7606,163,7820,84
600,2019-01-31,50110580,7588,175,7772,85
601,2019-02-28,50110580,7594,176,7751,85
602,2019-03-31,50110580,7577,180,7726,82
603,2019-04-30,50110580,7577,184,7701,81
604,2019-05-31,50110580,7576,185,7701,81
605,2019-06-30,50110580,7570,181,7690,82
606,2019-07-31,50110580,7566,178,7689,80
